Date,Region,AvgTemp,Humidity
2020-01-22,Hubei,7,84.875
2020-01-23,Hubei,7,86.125
2020-01-24,Hubei,7,87.125
2020-01-25,Hubei,6,83.75
2020-01-26,Hubei,5,84.875
2020-01-27,Hubei,4,75.625
2020-01-28,Hubei,8,63.5
2020-01-29,Hubei,9,62.75
2020-01-30,Hubei,13,53.625
2020-01-31,Hubei,11,50.875
2020-02-01,Hubei,12,58.625
2020-02-02,Hubei,13,60.75
2020-02-03,Hubei,12,58.5
2020-02-04,Hubei,14,58.75
2020-02-05,Hubei,14,58.0
2020-02-06,Hubei,7,78.25
2020-02-07,Hubei,8,76.75
2020-02-08,Hubei,10,68.125
2020-02-09,Hubei,14,62.5
2020-02-10,Hubei,11,67.375
2020-02-11,Hubei,11,82.875
2020-02-12,Hubei,16,77.0
2020-02-13,Hubei,17,81.625
2020-02-14,Hubei,17,83.75
2020-02-15,Hubei,2,82.0
2020-02-16,Hubei,7,53.25
2020-02-17,Hubei,11,41.375
2020-02-18,Hubei,12,43.625
2020-02-19,Hubei,14,53.0
2020-02-20,Hubei,15,55.375
2020-02-21,Hubei,15,56.0
2020-02-22,Hubei,17,61.125
2020-02-23,Hubei,17,54.375
2020-02-24,Hubei,22,65.0
2020-02-25,Hubei,20,68.375
2020-02-26,Hubei,17,77.875
2020-02-27,Hubei,11,81.75
2020-02-28,Hubei,9,85.5
2020-02-29,Hubei,14,70.875
2020-03-01,Hubei,15,64.75
2020-03-02,Hubei,10,77.5
2020-03-03,Hubei,9,77.125
2020-03-04,Hubei,13,63.625
2020-03-05,Hubei,14,60.25
2020-03-06,Hubei,13,73.875
2020-03-07,Hubei,17,74.75
2020-03-08,Hubei,18,79.5
2020-03-09,Hubei,13,83.25
2020-03-10,Hubei,16,61.125
2020-03-11,Hubei,17,50.25
2020-03-12,Hubei,17,64.625
2020-03-13,Hubei,16,66.375
2020-03-14,Hubei,18,55.75
2020-03-15,Hubei,20,43.25
2020-03-16,Hubei,18,49.0
2020-03-17,Hubei,20,55.25
2020-03-18,Hubei,21,58.0
2020-03-19,Hubei,22,51.125
2020-03-20,Hubei,24,43.75
2020-03-21,Hubei,22,67.0
2020-03-22,Hubei,21,72.375
2020-03-23,Hubei,22,65.0
2020-03-24,Hubei,23,64.25
2020-03-25,Hubei,23,76.5
2020-03-26,Hubei,24,74.25
2020-03-27,Hubei,10,76.75
2020-03-28,Hubei,10,74.625
2020-03-29,Hubei,9,82.5
2020-03-30,Hubei,13,70.75
2020-03-31,Hubei,13,70.75
2020-04-01,Hubei,16,68.125
2020-04-02,Hubei,17,66.625
2020-04-03,Hubei,18,55.5
2020-04-04,Hubei,19,54.0
2020-04-05,Hubei,20,48.0
2020-04-06,Hubei,20,47.5
2020-04-07,Hubei,21,48.375
2020-04-08,Hubei,22,48.75
2020-04-09,Hubei,26,45.125
2020-04-10,Hubei,17,66.875
2020-04-11,Hubei,13,69.25
2020-04-12,Hubei,19,49.125
2020-04-13,Hubei,21,37.875
2020-04-14,Hubei,21,43.5
2020-04-15,Hubei,24,53.75
2020-04-16,Hubei,27,56.625
2020-04-17,Hubei,24,46.125
2020-04-18,Hubei,14,75.75
2020-04-19,Hubei,20,65.375
2020-04-20,Hubei,16,75.375
2020-04-21,Hubei,16,81.375
2020-04-22,Hubei,21,60.0
2020-01-22,Spain,7,74.25
2020-01-23,Spain,7,73.75
2020-01-24,Spain,7,82.75
2020-01-25,Spain,8,85.125
2020-01-26,Spain,8,78.0
2020-01-27,Spain,7,84.875
2020-01-28,Spain,11,89.25
2020-01-29,Spain,10,86.375
2020-01-30,Spain,10,85.375
2020-01-31,Spain,12,86.25
2020-02-01,Spain,13,87.125
2020-02-02,Spain,12,87.0
2020-02-03,Spain,14,75.625
2020-02-04,Spain,15,62.625
2020-02-05,Spain,13,51.25
2020-02-06,Spain,11,70.625
2020-02-07,Spain,11,68.75
2020-02-08,Spain,10,80.75
2020-02-09,Spain,9,84.875
2020-02-10,Spain,13,78.875
2020-02-11,Spain,12,78.125
2020-02-12,Spain,13,77.125
2020-02-13,Spain,12,78.625
2020-02-14,Spain,14,69.375
2020-02-15,Spain,13,67.875
2020-02-16,Spain,14,66.5
2020-02-17,Spain,12,74.25
2020-02-18,Spain,11,59.875
2020-02-19,Spain,13,49.5
2020-02-20,Spain,15,41.75
2020-02-21,Spain,14,36.625
2020-02-22,Spain,18,33.875
2020-02-23,Spain,18,34.5
2020-02-24,Spain,16,39.0
2020-02-25,Spain,13,44.875
2020-02-26,Spain,11,47.75
2020-02-27,Spain,13,49.75
2020-02-28,Spain,15,47.0
2020-02-29,Spain,9,75.0
2020-03-01,Spain,10,79.0
2020-03-02,Spain,11,63.125
2020-03-03,Spain,8,71.125
2020-03-04,Spain,14,71.375
2020-03-05,Spain,11,69.375
2020-03-06,Spain,9,51.375
2020-03-07,Spain,10,51.625
2020-03-08,Spain,13,55.125
2020-03-09,Spain,13,49.625
2020-03-10,Spain,16,46.875
2020-03-11,Spain,18,57.25
2020-03-12,Spain,20,49.25
2020-03-13,Spain,17,58.5
2020-03-14,Spain,17,57.5
2020-03-15,Spain,16,57.125
2020-03-16,Spain,5,79.0
2020-03-17,Spain,11,74.0
2020-03-18,Spain,15,59.5
2020-03-19,Spain,14,55.0
2020-03-20,Spain,12,67.125
2020-03-21,Spain,8,75.375
2020-03-22,Spain,9,73.875
2020-03-23,Spain,11,70.75
2020-03-24,Spain,12,64.5
2020-03-25,Spain,11,56.25
2020-03-26,Spain,15,31.625
2020-03-27,Spain,8,56.0
2020-03-28,Spain,11,56.0
2020-03-29,Spain,15,42.5
2020-03-30,Spain,7,62.75
2020-03-31,Spain,6,87.625
2020-04-01,Spain,11,70.625
2020-04-02,Spain,12,58.125
2020-04-03,Spain,15,51.75
2020-04-04,Spain,14,51.625
2020-04-05,Spain,13,67.25
2020-04-06,Spain,16,74.875
2020-04-07,Spain,16,73.75
2020-04-08,Spain,17,64.5
2020-04-09,Spain,15,62.875
2020-04-10,Spain,13,88.125
2020-04-11,Spain,15,71.625
