,Date,Region,AvgTemp,Humidity,cases
0,01/22/2020,Hubei,7,84.875,444
1,01/23/2020,Hubei,7,86.125,444
2,01/24/2020,Hubei,7,87.125,549
3,01/25/2020,Hubei,6,83.75,761
4,01/26/2020,Hubei,5,84.875,1058
5,01/27/2020,Hubei,4,75.625,1423
6,01/28/2020,Hubei,8,63.5,3554
7,01/29/2020,Hubei,9,62.75,3554
8,01/30/2020,Hubei,13,53.625,4903
9,01/31/2020,Hubei,11,50.875,5806
10,02/01/2020,Hubei,12,58.625,7153
11,02/02/2020,Hubei,13,60.75,11177
12,02/03/2020,Hubei,12,58.5,13522
13,02/04/2020,Hubei,14,58.75,16678
14,02/05/2020,Hubei,14,58.0,19665
15,02/06/2020,Hubei,7,78.25,22112
16,02/07/2020,Hubei,8,76.75,24953
17,02/08/2020,Hubei,10,68.125,27100
18,02/09/2020,Hubei,14,62.5,29631
19,02/10/2020,Hubei,11,67.375,31728
20,02/11/2020,Hubei,11,82.875,33366
21,02/12/2020,Hubei,16,77.0,33366
22,02/13/2020,Hubei,17,81.625,48206
23,02/14/2020,Hubei,17,83.75,54406
24,02/15/2020,Hubei,2,82.0,56249
25,02/16/2020,Hubei,7,53.25,58182
26,02/17/2020,Hubei,11,41.375,59989
27,02/18/2020,Hubei,12,43.625,61682
28,02/19/2020,Hubei,14,53.0,62031
29,02/20/2020,Hubei,15,55.375,62442
30,02/21/2020,Hubei,15,56.0,62662
31,02/22/2020,Hubei,17,61.125,64084
32,02/23/2020,Hubei,17,54.375,64084
33,02/24/2020,Hubei,22,65.0,64287
34,02/25/2020,Hubei,20,68.375,64786
35,02/26/2020,Hubei,17,77.875,65187
36,02/27/2020,Hubei,11,81.75,65596
37,02/28/2020,Hubei,9,85.5,65914
38,02/29/2020,Hubei,14,70.875,66337
39,03/01/2020,Hubei,15,64.75,66907
40,03/02/2020,Hubei,10,77.5,67103
41,03/03/2020,Hubei,9,77.125,67217
42,03/04/2020,Hubei,13,63.625,67332
43,03/05/2020,Hubei,14,60.25,67466
44,03/06/2020,Hubei,13,73.875,67592
45,03/07/2020,Hubei,17,74.75,67666
46,03/08/2020,Hubei,18,79.5,67707
47,03/09/2020,Hubei,13,83.25,67743
48,03/10/2020,Hubei,16,61.125,67760
49,03/11/2020,Hubei,17,50.25,67773
50,03/12/2020,Hubei,17,64.625,67781
51,03/13/2020,Hubei,16,66.375,67786
52,03/14/2020,Hubei,18,55.75,67790
53,03/15/2020,Hubei,20,43.25,67794
54,03/16/2020,Hubei,18,49.0,67798
55,03/17/2020,Hubei,20,55.25,67799
56,03/18/2020,Hubei,21,58.0,67800
57,03/19/2020,Hubei,22,51.125,67800
58,03/20/2020,Hubei,24,43.75,67800
59,03/21/2020,Hubei,22,67.0,67800
60,03/22/2020,Hubei,21,72.375,67800
61,03/23/2020,Hubei,22,65.0,67800
62,03/24/2020,Hubei,23,64.25,67801
63,03/25/2020,Hubei,23,76.5,67801
64,03/26/2020,Hubei,24,74.25,67801
