,Date,Region,AvgTemp,Humidity,Cases,Cases_per_day
0,1/22/20,Hubei,7,84.875,444,444
1,1/23/20,Hubei,7,86.125,444,0
2,1/24/20,Hubei,7,87.125,549,105
3,1/25/20,Hubei,6,83.75,761,212
4,1/26/20,Hubei,5,84.875,1058,297
5,1/27/20,Hubei,4,75.625,1423,365
6,1/28/20,Hubei,8,63.5,3554,2131
7,1/29/20,Hubei,9,62.75,3554,0
8,1/30/20,Hubei,13,53.625,4903,1349
9,1/31/20,Hubei,11,50.875,5806,903
10,2/1/20,Hubei,12,58.625,7153,1347
11,2/2/20,Hubei,13,60.75,11177,4024
12,2/3/20,Hubei,12,58.5,13522,2345
13,2/4/20,Hubei,14,58.75,16678,3156
14,2/5/20,Hubei,14,58,19665,2987
15,2/6/20,Hubei,7,78.25,22112,2447
16,2/7/20,Hubei,8,76.75,24953,2841
17,2/8/20,Hubei,10,68.125,27100,2147
18,2/9/20,Hubei,14,62.5,29631,2531
19,2/10/20,Hubei,11,67.375,31728,2097
20,2/11/20,Hubei,11,82.875,33366,1638
21,2/12/20,Hubei,16,77,33366,0
22,2/13/20,Hubei,17,81.625,48206,14840
23,2/14/20,Hubei,17,83.75,54406,6200
24,2/15/20,Hubei,2,82,56249,1843
25,2/16/20,Hubei,7,53.25,58182,1933
26,2/17/20,Hubei,11,41.375,59989,1807
27,2/18/20,Hubei,12,43.625,61682,1693
28,2/19/20,Hubei,14,53,62031,349
29,2/20/20,Hubei,15,55.375,62442,411
30,2/21/20,Hubei,15,56,62662,220
31,2/22/20,Hubei,17,61.125,64084,1422
32,2/23/20,Hubei,17,54.375,64084,0
33,2/24/20,Hubei,22,65,64287,203
34,2/25/20,Hubei,20,68.375,64786,499
35,2/26/20,Hubei,17,77.875,65187,401
36,2/27/20,Hubei,11,81.75,65596,409
37,2/28/20,Hubei,9,85.5,65914,318
38,2/29/20,Hubei,14,70.875,66337,423
39,3/1/20,Hubei,15,64.75,66907,570
40,3/2/20,Hubei,10,77.5,67103,196
41,3/3/20,Hubei,9,77.125,67217,114
42,3/4/20,Hubei,13,63.625,67332,115
43,3/5/20,Hubei,14,60.25,67466,134
44,3/6/20,Hubei,13,73.875,67592,126
45,3/7/20,Hubei,17,74.75,67666,74
46,3/8/20,Hubei,18,79.5,67707,41
47,3/9/20,Hubei,13,83.25,67743,36
48,3/10/20,Hubei,16,61.125,67760,17
49,3/11/20,Hubei,17,50.25,67773,13
50,3/12/20,Hubei,17,64.625,67781,8
51,3/13/20,Hubei,16,66.375,67786,5
52,3/14/20,Hubei,18,55.75,67790,4
53,3/15/20,Hubei,20,43.25,67794,4
54,3/16/20,Hubei,18,49,67798,4
55,3/17/20,Hubei,20,55.25,67799,1
56,3/18/20,Hubei,21,58,67800,1
57,3/19/20,Hubei,22,51.125,67800,0
58,3/20/20,Hubei,24,43.75,67800,0
59,3/21/20,Hubei,22,67,67800,0
60,3/22/20,Hubei,21,72.375,67800,0
61,3/23/20,Hubei,22,65,67800,0
62,3/24/20,Hubei,23,64.25,67801,1
63,3/25/20,Hubei,23,76.5,67801,0
